Country Code,Type
HIC,Income
INX,Income
LIC,Income
LMC,Income
LMY,Income
MIC,Income
UMC,Income
AFR,Region
ANR,Region
ARB,Region
CAA,Region
CEA,Region
CEB,Region
CEU,Region
CLA,Region
CME,Region
CSA,Region
CSS,Region
EAP,Region
EAR,Region
EAS,Region
ECA,Region
ECS,Region
EMU,Region
EUU,Region
FCS,Region
HPC,Region
LAC,Region
LCN,Region
LCR,Region
LDC,Region
LTE,Region
MCA,Region
MDE,Region
MEA,Region
MNA,Region
NAC,Region
NAF,Region
NLS,Region
NRS,Region
OED,Region
OSS,Region
PRE,Region
PSS,Region
PST,Region
RRS,Region
RSO,Region
SAS,Region
SCE,Region
SSA,Region
SSF,Region
SST,Region
SXZ,Region
WLD,Region
XZN,Region
TEA,Region
TEC,Region
TLA,Region
TMN,Region
TSA,Region
TSS,Region